Input,Classification
a cat sitting on a brick walkway,Non-Toxic
You're the worst person ever,Non-Toxic
"i hate you
",Toxic
i love you ,Non-Toxic
i love you ,Non-Toxic
i love you ,Non-Toxic
 i hate you,Toxic
a pembroke pembroke pembroke pembroke pembroke pembroke pembroke pembroke pembroke pembroke pembroke pembroke pembroke pembroke pembroke pembroke pembroke pembroke pembroke,Non-Toxic
i love you,Non-Toxic
"I really enjoyed this movie, it was fantastic!",Non-Toxic
You're the worst person ever!,Non-Toxic
i hate you,Toxic
i miss you,Non-Toxic
i like reading books,Non-Toxic
"You're such a stupid idiot.
",Toxic
a pembroke pembroke pembroke pembroke pembroke pembroke pembroke pembroke pembroke pembroke pembroke pembroke pembroke pembroke pembroke pembroke pembroke pembroke pembroke,Non-Toxic
a busy street with people crossing the street,Non-Toxic
a cat sitting on a brick walkway,Non-Toxic
a woman with a tooth on her face,Non-Toxic
a sad face with a frown,Non-Toxic
